"Województwo","Powiat","Gmina","Teryt","Nr_okręgu","Obwody","Uprawnieni","Karty_wydane","Głosy_oddane","Głosy_nieważne","Głosy_ważne","Dariusz_Maciej_GRABOWSKI","Piotr_IKONOWICZ","Jarosław_KALINOWSKI","Janusz_KORWIN.MIKKE","Marian_KRZAKLEWSKI","Aleksander_KWAŚNIEWSKI","Andrzej_LEPPER","Jan_ŁOPUSZAŃSKI","Andrzej_Marian_OLECHOWSKI","Bogdan_PAWŁOWSKI","Lech_WAŁĘSA","Tadeusz_Adam_WILECKI"
"dolnośląskie","oleśnicki","Bierutów","021402",1,7,7705,4118,4118,58,4060,19,6,247,54,562,2438,176,19,508,0,22,9
"dolnośląskie","strzeliński","Borów","021701",1,3,4024,2546,2546,26,2520,7,3,495,14,426,1181,143,15,211,0,20,5
"dolnośląskie","wołowski","Brzeg Dolny","022201",1,10,12832,7776,7775,78,7697,43,14,177,106,877,4701,192,46,1456,14,58,13
"dolnośląskie","milicki","Cieszków","021301",1,3,3438,2108,2107,29,2078,6,2,134,12,253,1366,107,9,177,0,11,1
"dolnośląskie","wrocławski","Czernica","022301",1,5,5400,3321,3317,49,3268,22,8,74,38,607,1641,96,41,714,4,20,3
"dolnośląskie","wrocławski","Długołęka","022302",1,14,12846,7271,7270,82,7188,28,6,430,77,1183,3490,402,47,1421,3,84,17
"dolnośląskie","oleśnicki","Dobroszyce","021403",1,3,4204,2063,2063,25,2038,12,2,142,20,305,1154,84,12,288,0,12,7
"dolnośląskie","oławski","Domaniów","021502",1,4,3883,2226,2226,20,2206,2,1,308,10,238,1156,234,10,231,3,10,3
"dolnośląskie","oleśnicki","Dziadowa Kłoda","021404",1,2,3256,1918,1918,25,1893,3,4,255,17,77,1301,96,5,124,1,8,2
"dolnośląskie","oławski","Jelcz-Laskowice","021503",1,13,15634,9265,9265,96,9169,33,18,250,137,1452,4812,255,98,1995,4,106,9
"dolnośląskie","wrocławski","Jordanów Śląski","022303",1,2,2176,1211,1211,13,1198,3,3,153,9,141,642,112,2,120,1,8,4
"dolnośląskie","wrocławski","Kąty Wrocławskie","022304",1,9,11972,7120,7118,77,7041,33,15,367,99,1142,3898,281,36,1096,1,61,12
"dolnośląskie","wrocławski","Kobierzyce","022305",1,9,8703,4899,4894,57,4837,25,9,322,50,670,2572,292,23,811,4,53,6
"dolnośląskie","strzeliński","Kondratowice","021702",1,5,3577,2059,2059,19,2040,7,1,140,9,229,1361,114,6,159,0,12,2
"dolnośląskie","średzki","Kostomłoty","021801",1,5,5173,2824,2817,36,2781,11,2,319,21,287,1767,130,24,206,2,11,1
"dolnośląskie","milicki","Krośnice","021302",1,4,5886,3398,3398,42,3356,11,4,233,32,393,2137,176,15,310,4,35,6
"dolnośląskie","średzki","Malczyce","021802",1,5,4493,2573,2573,40,2533,14,3,100,35,298,1685,105,26,245,2,11,9
"dolnośląskie","wrocławski","Mietków","022306",1,3,2815,1653,1653,19,1634,8,1,156,14,208,979,87,6,164,0,8,3
"dolnośląskie","oleśnicki","Międzybórz","021405",1,3,3598,2078,2077,24,2053,8,1,76,20,150,1515,55,6,201,3,17,1
"dolnośląskie","średzki","Miękinia","021803",1,6,7992,4115,4115,64,4051,18,4,137,47,694,2310,114,76,616,2,24,9
"dolnośląskie","milicki","Milicz","021303",1,19,18098,11233,11231,123,11108,52,22,515,92,1349,7182,418,79,1281,7,94,17
"dolnośląskie","trzebnicki","Oborniki Śląskie","022001",1,7,12749,7505,7503,70,7433,38,15,216,131,1265,3953,175,87,1461,9,70,13
"dolnośląskie","oleśnicki","Oleśnica","021401",1,20,29346,18732,18727,125,18602,95,38,318,340,2842,11404,278,126,2916,5,162,78
"dolnośląskie","oleśnicki","Oleśnica gm.","021406",1,7,7840,3868,3866,43,3823,18,4,327,18,404,2471,176,15,351,2,30,7
"dolnośląskie","oławski","Oława","021501",1,16,24832,16005,15998,122,15876,79,42,323,220,2647,8742,289,109,3239,9,152,25
"dolnośląskie","oławski","Oława gm.","021504",1,7,9455,5301,5300,63,5237,21,3,334,34,1082,2589,234,25,852,4,42,17
"dolnośląskie","trzebnicki","Prusice","022002",1,5,6746,3422,3422,35,3387,18,3,202,21,375,2157,211,6,362,4,20,8
"dolnośląskie","strzeliński","Przeworno","021703",1,6,4061,2354,2353,23,2330,13,3,177,14,211,1503,227,14,152,1,11,4
"dolnośląskie","wrocławski","Sobótka","022307",1,6,9176,5152,5149,53,5096,19,5,299,56,675,3102,174,27,703,3,29,4
"dolnośląskie","strzeliński","Strzelin","021704",1,15,17772,10624,10621,90,10531,30,19,501,83,1684,6327,260,88,1414,5,103,17
"dolnośląskie","oleśnicki","Syców","021407",1,8,11952,7500,7497,61,7436,45,4,242,88,719,5072,137,54,1015,0,49,11
"dolnośląskie","średzki","Środa Śląska","021804",1,12,14612,8237,8235,73,8162,46,18,282,137,1083,5243,192,54,1048,7,37,15
"dolnośląskie","wrocławski","Święta Katarzyna","022308",1,9,9229,5671,5671,62,5609,38,11,255,94,1120,2655,167,43,1165,1,52,8
