"Województwo","Powiat","Gmina","Teryt","L.uprawnionych.do.głosowania","L.kart.wydanych","L.głosów.oddanych","L.głosów.ważnych","Henryka.Teodora.BOCHNIARZ","Adam.Andrzej.SŁOMKA","Donald.Franciszek.TUSK","Stanisław.TYMIŃSKI","Marek.Stefan.BOROWSKI","Leszek.Henryk.BUBEL","Liwiusz.Marian.ILASZ","Lech.Aleksander.KACZYŃSKI","Jarosław.KALINOWSKI","Janusz.Ryszard.KORWIN.MIKKE","Andrzej.Zbigniew.LEPPER","Jan.PYSZKO"
"dolnośląskie","bolesławiecki","Bolesławiec, gm.","020102",9369,3928,3927,3903,43,5,1472,8,281,3,9,1150,56,43,830,3
"dolnośląskie","bolesławiecki","Bolesławiec, m.","020101",33990,16359,16359,16259,245,6,6947,29,2590,19,34,4673,123,259,1320,14
"dolnośląskie","bolesławiecki","Gromadka, gm.","020103",4322,1859,1858,1843,25,1,573,0,168,3,2,536,31,12,492,0
"dolnośląskie","bolesławiecki","Nowogrodziec, gm.","020104",11320,4512,4512,4452,49,3,1586,7,257,5,11,1370,97,56,1005,6
"dolnośląskie","bolesławiecki","Osiecznica, gm.","020105",5060,1959,1959,1940,35,1,817,10,201,2,5,489,26,21,332,1
"dolnośląskie","bolesławiecki","Warta Bolesławiecka, gm.","020106",5993,2323,2323,2308,25,2,819,3,202,3,2,599,40,23,589,1
"dolnośląskie","dzierżoniowski","Bielawa, m.","020201",26656,11569,11564,11492,163,8,4824,29,1355,16,32,3237,79,187,1552,10
"dolnośląskie","dzierżoniowski","Dzierżoniów, gm.","020205",7748,3668,3668,3641,35,2,1129,15,277,0,15,1020,64,40,1042,2
"dolnośląskie","dzierżoniowski","Dzierżoniów, m.","020202",29878,14306,14303,14221,195,7,6028,27,1939,13,49,3935,102,233,1682,11
"dolnośląskie","dzierżoniowski","Łagiewniki, gm.","020206",5933,2759,2759,2746,26,1,861,2,178,5,10,737,35,28,863,0
"dolnośląskie","dzierżoniowski","Niemcza, gm.","020207",4996,2124,2122,2101,26,0,740,0,179,4,6,652,31,12,451,0
"dolnośląskie","dzierżoniowski","Pieszyce, m.","020203",7870,3386,3386,3352,37,3,1250,7,283,6,7,1060,42,46,606,5
"dolnośląskie","dzierżoniowski","Piława Górna, m.","020204",5348,2203,2203,2178,16,0,760,11,188,1,5,723,26,20,428,0
"dolnośląskie","głogowski","Głogów, gm.","020302",4134,1893,1892,1883,23,3,580,1,172,2,6,629,19,27,420,1
"dolnośląskie","głogowski","Głogów, m.","020301",57567,28840,28831,28624,430,4,10610,34,4304,50,73,9316,216,473,3098,16
"dolnośląskie","głogowski","Jerzmanowa, gm.","020303",2336,1088,1088,1075,13,0,343,7,106,1,6,253,31,9,305,1
"dolnośląskie","głogowski","Kotla, gm.","020304",3113,1337,1336,1325,11,0,342,1,121,2,2,377,23,11,434,1
"dolnośląskie","głogowski","Pęcław, gm.","020305",1761,750,750,742,6,0,173,0,47,1,2,226,15,5,266,1
"dolnośląskie","głogowski","Żukowice, gm.","020306",2713,1085,1085,1080,16,4,262,3,83,3,4,247,39,10,408,1
"dolnośląskie","górowski","Góra, gm.","020401",16343,7082,7071,7024,85,3,2357,12,716,10,15,1839,137,82,1766,2
"dolnośląskie","górowski","Jemielno, gm.","020402",2446,985,985,971,12,1,205,3,70,4,6,184,29,12,445,0
"dolnośląskie","górowski","Niechlów, gm.","020403",3906,1577,1577,1560,11,0,361,1,125,1,2,338,48,15,658,0
"dolnośląskie","górowski","Wąsosz, gm.","020404",5826,2231,2231,2216,27,2,630,5,213,1,1,579,49,20,688,1
"dolnośląskie","jaworski","Bolków, gm.","020502",9014,3817,3817,3786,54,1,1304,9,361,8,17,930,85,33,973,11
"dolnośląskie","jaworski","Jawor, m.","020501",20245,9399,9398,9337,139,4,3831,20,1017,12,21,2942,58,136,1155,2
"dolnośląskie","jaworski","Męcinka, gm.","020503",3750,1453,1453,1448,17,1,383,2,89,3,8,462,35,6,441,1
"dolnośląskie","jaworski","Mściwojów, gm.","020504",3268,1468,1468,1460,14,2,380,3,130,4,1,296,70,23,537,0
"dolnośląskie","jaworski","Paszowice, gm.","020505",3103,1234,1234,1227,12,0,307,2,84,3,2,385,28,12,390,2
"dolnośląskie","jaworski","Wądroże Wielkie, gm.","020506",3214,1217,1216,1205,8,0,278,3,103,0,7,208,56,8,533,1
"dolnośląskie","jeleniogórski","Janowice Wielkie, gm.","020605",3394,1508,1507,1487,23,1,718,6,153,1,2,325,23,28,205,2
"dolnośląskie","jeleniogórski","Jeżów Sudecki, gm.","020606",4835,2213,2213,2195,17,2,1010,3,180,5,5,578,24,30,338,3
"dolnośląskie","jeleniogórski","Karpacz, m.","020601",4501,2110,2110,2093,25,0,1208,7,274,2,5,367,17,29,157,2
"dolnośląskie","jeleniogórski","Kowary, m.","020602",9921,4309,4309,4279,72,4,1974,21,547,7,21,1049,49,73,457,5
"dolnośląskie","jeleniogórski","Mysłakowice, gm.","020607",8001,3668,3668,3645,45,4,1755,3,311,2,14,901,49,44,515,2
"dolnośląskie","jeleniogórski","Piechowice, m.","020603",5439,2554,2554,2537,39,2,1174,5,290,6,9,629,20,49,310,4
"dolnośląskie","jeleniogórski","Podgórzyn, gm.","020608",6430,2891,2891,2876,38,2,1391,4,278,7,7,654,47,43,400,5
"dolnośląskie","jeleniogórski","Stara Kamienica, gm.","020609",4069,1661,1661,1650,22,0,765,2,144,2,1,337,24,16,336,1
"dolnośląskie","jeleniogórski","Szklarska Poręba, m.","020604",6243,2937,2936,2911,48,0,1435,7,363,9,10,695,34,75,231,4
"dolnośląskie","kamiennogórski","Kamienna Góra, gm.","020702",6606,2978,2978,2933,26,0,1110,11,205,4,9,811,66,31,657,3
"dolnośląskie","kamiennogórski","Kamienna Góra, m.","020701",18003,7979,7979,7924,120,3,3296,15,1003,11,16,2341,51,94,972,2
"dolnośląskie","kamiennogórski","Lubawka, gm.","020703",9551,4101,4099,4060,36,1,1723,13,487,3,18,960,42,42,733,2
"dolnośląskie","kamiennogórski","Marciszów, gm.","020704",3788,1705,1705,1691,16,3,609,5,122,2,7,402,39,18,466,2
"dolnośląskie","kłodzki","Bystrzyca Kłodzka, gm.","020806",16717,7462,7461,7407,64,3,2886,13,622,9,13,2135,201,79,1377,5
"dolnośląskie","kłodzki","Duszniki-Zdrój, m.","020801",4490,2162,2162,2146,22,1,1056,9,276,3,11,544,11,26,187,0
"dolnośląskie","kłodzki","Kłodzko, gm.","020807",13702,6021,6021,5962,46,3,2098,15,382,5,12,1747,231,61,1357,5
"dolnośląskie","kłodzki","Kłodzko, m.","020802",24958,12026,12024,11936,129,4,5399,12,1309,10,27,3558,126,180,1172,10
"dolnośląskie","kłodzki","Kudowa-Zdrój, m.","020803",8735,4153,4152,4128,58,4,1736,8,521,7,12,1319,42,45,374,2
