"Województwo","Powiat","Gmina","Teryt","Typ.gminy","typ_gminy","L..obwodów","Uprawnieni.do.głosowania","Wydane.karty.do.głosowania","Głosy.oddane","Głosy.ważne","Marek.JUREK","Jarosław.Aleksander.KACZYŃSKI","Bronisław.Maria.KOMOROWSKI","Janusz.Ryszard.KORWIN.MIKKE","Andrzej.Zbigniew.LEPPER","Kornel.Andrzej.MORAWIECKI","Grzegorz.Bernard.NAPIERALSKI","Andrzej.Marian.OLECHOWSKI","Waldemar.PAWLAK","Bogusław.Zbigniew.ZIĘTEK"
"dolnośląskie","bolesławiecki","Bolesławiec","020101"," m.","miejska",18,32998,18096,18085,17974,170,4779,9005,477,121,33,2971,270,127,21
"dolnośląskie","bolesławiecki","Bolesławiec","020102"," gm.","wiejska",9,10370,5043,5043,4999,21,1578,2304,122,91,18,729,62,70,4
"dolnośląskie","bolesławiecki","Gromadka","020103"," gm.","wiejska",4,4408,2180,2180,2161,20,809,874,45,61,6,288,15,39,4
"dolnośląskie","bolesławiecki","Nowogrodziec","020104"," gm.","miejsko-wiejska",12,11784,5193,5193,5155,45,1732,2220,115,124,8,725,66,111,9
"dolnośląskie","bolesławiecki","Osiecznica","020105"," gm.","wiejska",7,5281,2523,2523,2506,15,636,1201,65,43,4,469,39,33,1
"dolnośląskie","bolesławiecki","Warta Bolesławiecka","020106"," gm.","wiejska",4,6461,2860,2860,2838,19,919,1251,44,63,1,467,29,40,5
"dolnośląskie","dzierżoniowski","Bielawa","020201"," m.","miejska",15,26307,12902,12901,12798,93,3565,6395,324,127,25,1992,166,77,34
"dolnośląskie","dzierżoniowski","Dzierżoniów","020202"," m.","miejska",21,29172,15436,15430,15330,131,4366,7699,391,124,16,2178,286,117,22
"dolnośląskie","dzierżoniowski","Pieszyce","020203"," m.","miejska",8,7760,3515,3515,3475,28,1173,1566,73,47,9,495,31,45,8
"dolnośląskie","dzierżoniowski","Piława Górna","020204"," m.","miejska",3,5386,2547,2544,2518,17,876,1070,54,44,4,365,47,36,5
"dolnośląskie","dzierżoniowski","Dzierżoniów","020205"," gm.","wiejska",13,7709,3735,3735,3713,28,1407,1442,94,86,3,506,63,66,18
"dolnośląskie","dzierżoniowski","Łagiewniki","020206"," gm.","wiejska",6,6127,2811,2811,2788,19,1028,1083,47,86,5,405,44,67,4
"dolnośląskie","dzierżoniowski","Niemcza","020207"," gm.","miejsko-wiejska",6,4887,2328,2328,2304,21,766,1073,38,31,8,309,30,21,7
"dolnośląskie","głogowski","Głogów","020301"," m.","miejska",37,56181,32011,32003,31775,245,11357,12393,736,280,40,5977,507,176,64
"dolnośląskie","głogowski","Głogów","020302"," gm.","wiejska",4,4651,2476,2476,2461,16,1028,807,50,41,3,438,35,39,4
"dolnośląskie","głogowski","Jerzmanowa","020303"," gm.","wiejska",4,2913,1664,1664,1648,12,664,530,25,35,2,339,19,21,1
"dolnośląskie","głogowski","Kotla","020304"," gm.","wiejska",5,3264,1453,1453,1440,9,585,472,27,56,5,241,18,25,2
"dolnośląskie","głogowski","Pęcław","020305"," gm.","wiejska",2,1788,836,836,823,10,365,239,11,27,3,138,7,21,2
"dolnośląskie","głogowski","Żukowice","020306"," gm.","wiejska",2,2754,1216,1216,1208,6,450,382,19,62,1,237,12,35,4
"dolnośląskie","górowski","Góra","020401"," gm.","miejsko-wiejska",15,16502,7451,7448,7411,54,2220,3348,166,140,8,1230,118,113,14
"dolnośląskie","górowski","Jemielno","020402"," gm.","wiejska",3,2478,1034,1033,1017,6,358,350,11,32,2,213,4,39,2
"dolnośląskie","górowski","Niechlów","020403"," gm.","wiejska",4,3973,1732,1731,1720,13,604,623,16,76,0,333,11,41,3
"dolnośląskie","górowski","Wąsosz","020404"," gm.","miejsko-wiejska",5,5907,2431,2431,2413,11,828,920,67,65,7,426,33,51,5
"dolnośląskie","jaworski","Jawor","020501"," m.","miejska",14,20112,10482,10480,10386,79,3592,4482,219,89,28,1653,147,82,15
"dolnośląskie","jaworski","Bolków","020502"," gm.","miejsko-wiejska",12,8974,4086,4086,4052,30,1162,1800,76,113,7,749,37,71,7
"dolnośląskie","jaworski","Męcinka","020503"," gm.","wiejska",4,3843,1695,1695,1681,6,735,537,24,50,3,276,11,34,5
"dolnośląskie","jaworski","Mściwojów","020504"," gm.","wiejska",3,3261,1646,1646,1633,15,530,617,32,59,2,312,13,49,4
"dolnośląskie","jaworski","Paszowice","020505"," gm.","wiejska",2,3132,1386,1386,1375,18,519,512,19,40,4,209,22,30,2
"dolnośląskie","jaworski","Wądroże Wielkie","020506"," gm.","wiejska",3,3227,1367,1367,1362,10,428,523,22,35,4,241,8,90,1
