"Województwo","Powiat","Gmina","Teryt","Liczba.wyborców.uprawnionych.do.głosowania","Komisja.otrzymała.kart.do.głosowania","Nie.wykorzystano.kart.do.głosowania","Liczba.wyborców..którym.wydano.karty.do.głosowania","Liczba.wyborców.głosujących.przez.pełnomocnika","Liczba.wyborców.głosujących.na.podstawie.zaświadczenia","Liczba.wyborców..którym.wysłano.pakiety.wyborcze","Liczba.otrzymanych.kopert.zwrotnych","w.których.nie.było.oświadczenia","w.których.oświadczenie.nie.było.podpisane","w.których.nie.było.koperty.na.kartę.do.głosowania","w.których.znajdowała.się.niezaklejona.koperta","Liczba.kopert.na.kartę.do.głosowania.wrzuconych.do.urny","Liczba.kart.wyjętych.z.urny","w.tym.liczba.kart.wyjętych.z.kopert","Liczba.kart.nieważnych","Liczba.kart.ważnych","Liczba.głosów.nieważnych","Liczba.głosów.ważnych","RAZEM","Grzegorz.Michał.BRAUN","Andrzej.Sebastian.DUDA","Adam.Sebastian.JARUBAS","Bronisław.Maria.KOMOROWSKI","Janusz.Ryszard.KORWIN.MIKKE","Marian.Janusz.KOWALSKI","Paweł.Piotr.KUKIZ","Magdalena.Agnieszka.OGÓREK","Janusz.Marian.PALIKOT","Paweł.Jan.TANAJNO","Jacek.WILK"
"dolnośląskie","bolesławiecki","gm. Nowogrodziec","020104",11934,10283,5779,4504,0,7,0,0,0,0,0,0,0,4504,0,0,4504,41,4463,4463,41,1680,50,1289,152,39,1074,80,38,5,15
"dolnośląskie","bolesławiecki","m. Bolesławiec","020101",31535,27140,11991,15149,8,79,7,7,0,0,0,0,7,15152,7,3,15149,110,15039,15039,152,4018,114,6059,576,68,3336,405,224,19,68
"dolnośląskie","bolesławiecki","gm. Warta Bolesławiecka","020106",6700,5706,3080,2626,2,7,2,2,0,0,0,0,2,2628,2,0,2628,46,2582,2582,19,916,29,881,88,5,538,59,40,1,6
"dolnośląskie","bolesławiecki","gm. Osiecznica","020105",5467,4710,2473,2237,0,26,0,0,0,0,0,0,0,2237,0,0,2237,14,2223,2223,17,570,28,803,85,14,580,76,38,2,10
"dolnośląskie","bolesławiecki","gm. Bolesławiec","020102",10951,9390,4614,4776,0,17,1,1,0,0,0,0,1,4777,1,0,4777,26,4751,4751,53,1489,59,1678,180,21,1076,121,50,11,13
"dolnośląskie","bolesławiecki","gm. Gromadka","020103",4539,3907,1943,1964,0,8,1,1,0,0,0,0,1,1965,1,0,1965,22,1943,1943,13,776,16,669,50,4,338,45,19,1,12
"dolnośląskie","dzierżoniowski","m. Bielawa","020201",25187,21943,10809,11134,7,35,5,5,0,0,0,0,5,11139,5,3,11136,79,11057,11057,57,3266,77,4264,341,48,2530,253,173,10,38
"dolnośląskie","dzierżoniowski","gm. Dzierżoniów","020205",7709,6627,3136,3491,0,11,2,2,2,0,0,0,0,3491,0,0,3491,29,3462,3462,22,1200,36,1193,78,22,779,61,46,11,14
"dolnośląskie","dzierżoniowski","gm. Niemcza","020207",4749,4101,2114,1987,3,32,0,0,0,0,0,0,0,1987,0,0,1987,20,1967,1967,13,617,20,766,53,8,405,51,24,0,10
"dolnośląskie","dzierżoniowski","m. Piława Górna","020204",5293,4610,2394,2216,8,16,0,0,0,0,0,0,0,2216,0,0,2216,14,2202,2202,6,761,20,771,72,15,477,42,25,4,9
"dolnośląskie","dzierżoniowski","gm. Łagiewniki","020206",6085,5166,2535,2631,0,10,0,0,0,0,0,0,0,2631,0,0,2631,17,2614,2614,18,1010,32,870,68,17,506,59,21,1,12
"dolnośląskie","dzierżoniowski","m. Pieszyce","020203",7696,6714,3476,3238,5,19,0,0,0,0,0,0,0,3238,0,0,3238,27,3211,3211,27,1138,31,1183,132,15,555,63,49,7,11
"dolnośląskie","dzierżoniowski","m. Dzierżoniów","020202",27811,23879,10765,13112,5,38,3,3,0,0,0,0,3,13115,3,0,13115,128,12987,12987,69,3771,97,5466,372,72,2496,390,197,17,40
"dolnośląskie","głogowski","m. Głogów","020301",54178,46931,20088,26841,3,121,8,8,0,0,0,0,8,26847,8,0,26847,182,26665,26665,147,9211,179,9242,629,122,5859,775,338,41,122
"dolnośląskie","głogowski","gm. Głogów","020302",5175,4410,1844,2566,0,4,1,0,0,0,0,0,0,2566,0,0,2566,14,2552,2552,17,960,29,791,77,2,581,56,29,5,5
"dolnośląskie","głogowski","gm. Pęcław","020305",1774,1502,810,692,0,0,0,0,0,0,0,0,0,692,0,0,692,1,691,691,2,289,20,182,15,3,144,11,15,1,9
