"Województwo","Powiat","Gmina","Teryt","L.uprawnionych.do.głosowania","L.kart.wydanych","L.głosów.oddanych","L.głosów.ważnych","Lech.Aleksander.KACZYŃSKI","Donald.Franciszek.TUSK"
"dolnośląskie","bolesławiecki","Bolesławiec, gm.","020102",9352,4013,4013,3994,2031,1963
"dolnośląskie","bolesławiecki","Bolesławiec, m.","020101",34066,16799,16790,16622,7080,9542
"dolnośląskie","bolesławiecki","Gromadka, gm.","020103",4306,1843,1843,1826,944,882
"dolnośląskie","bolesławiecki","Nowogrodziec, gm.","020104",11310,4565,4565,4511,2385,2126
"dolnośląskie","bolesławiecki","Osiecznica, gm.","020105",5053,2030,2030,2006,822,1184
"dolnośląskie","bolesławiecki","Warta Bolesławiecka, gm.","020106",5997,2359,2359,2351,1281,1070
"dolnośląskie","dzierżoniowski","Bielawa, m.","020201",26659,11849,11843,11759,5391,6368
"dolnośląskie","dzierżoniowski","Dzierżoniów, gm.","020205",7753,3629,3629,3592,2041,1551
"dolnośląskie","dzierżoniowski","Dzierżoniów, m.","020202",29890,14516,14515,14358,6528,7830
"dolnośląskie","dzierżoniowski","Łagiewniki, gm.","020206",5930,2750,2751,2737,1570,1167
"dolnośląskie","dzierżoniowski","Niemcza, gm.","020207",4962,2131,2131,2106,1120,986
"dolnośląskie","dzierżoniowski","Pieszyce, m.","020203",7831,3491,3489,3450,1802,1648
"dolnośląskie","dzierżoniowski","Piława Górna, m.","020204",5343,2260,2251,2225,1277,948
"dolnośląskie","głogowski","Głogów, gm.","020302",4141,1906,1905,1888,1141,747
"dolnośląskie","głogowski","Głogów, m.","020301",57476,29513,29508,29202,15028,14174
"dolnośląskie","głogowski","Jerzmanowa, gm.","020303",2341,1084,1084,1074,592,482
"dolnośląskie","głogowski","Kotla, gm.","020304",3114,1286,1286,1273,743,530
"dolnośląskie","głogowski","Pęcław, gm.","020305",1757,732,732,725,464,261
"dolnośląskie","głogowski","Żukowice, gm.","020306",2707,970,970,958,562,396
"dolnośląskie","górowski","Góra, gm.","020401",16340,6982,6981,6896,3725,3171
"dolnośląskie","górowski","Jemielno, gm.","020402",2439,894,894,884,546,338
"dolnośląskie","górowski","Niechlów, gm.","020403",3923,1475,1473,1453,964,489
"dolnośląskie","górowski","Wąsosz, gm.","020404",5815,2175,2175,2154,1251,903
"dolnośląskie","jaworski","Bolków, gm.","020502",8965,3687,3687,3646,1798,1848
"dolnośląskie","jaworski","Jawor, m.","020501",20234,9563,9558,9476,4660,4816
