"Województwo","Powiat","Gmina","Teryt","Typ.gminy","typ_gminy","L.obwodów","Uprawnieni.do.głosowania","Wydane.karty.do.głosowania","Głosy.oddane","Głosy.ważne","Jarosław.Aleksander.KACZYŃSKI","Bronisław.Maria.KOMOROWSKI"
"dolnośląskie","bolesławiecki","Bolesławiec","020101"," m.","miejska",18,32799,17529,17524,17356,6083,11273
"dolnośląskie","bolesławiecki","Bolesławiec","020102"," gm.","wiejska",9,10377,5108,5108,5051,2146,2905
"dolnośląskie","bolesławiecki","Gromadka","020103"," gm.","wiejska",4,4386,2096,2094,2071,1021,1050
"dolnośląskie","bolesławiecki","Nowogrodziec","020104"," gm.","miejsko-wiejska",12,11764,4995,4995,4939,2247,2692
"dolnośląskie","bolesławiecki","Osiecznica","020105"," gm.","wiejska",7,5244,2305,2305,2281,822,1459
"dolnośląskie","bolesławiecki","Warta Bolesławiecka","020106"," gm.","wiejska",4,6436,2831,2831,2802,1227,1575
"dolnośląskie","dzierżoniowski","Bielawa","020201"," m.","miejska",15,26251,12386,12384,12218,4522,7696
"dolnośląskie","dzierżoniowski","Dzierżoniów","020202"," m.","miejska",21,28763,15107,15102,14946,5429,9517
"dolnośląskie","dzierżoniowski","Pieszyce","020203"," m.","miejska",8,7744,3556,3555,3506,1519,1987
"dolnośląskie","dzierżoniowski","Piława Górna","020204"," m.","miejska",3,5342,2457,2457,2430,1098,1332
"dolnośląskie","dzierżoniowski","Dzierżoniów","020205"," gm.","wiejska",13,7738,3764,3764,3731,1806,1925
"dolnośląskie","dzierżoniowski","Łagiewniki","020206"," gm.","wiejska",6,6153,2779,2779,2748,1400,1348
"dolnośląskie","dzierżoniowski","Niemcza","020207"," gm.","miejsko-wiejska",6,4908,2304,2304,2291,932,1359
"dolnośląskie","głogowski","Głogów","020301"," m.","miejska",37,55295,29850,29841,29446,14162,15284
"dolnośląskie","głogowski","Głogów","020302"," gm.","wiejska",4,4595,2351,2351,2329,1272,1057
"dolnośląskie","głogowski","Jerzmanowa","020303"," gm.","wiejska",4,2875,1565,1565,1547,871,676
"dolnośląskie","głogowski","Kotla","020304"," gm.","wiejska",5,3246,1415,1415,1393,805,588
"dolnośląskie","głogowski","Pęcław","020305"," gm.","wiejska",2,1785,896,896,874,513,361
"dolnośląskie","głogowski","Żukowice","020306"," gm.","wiejska",2,2737,1187,1187,1172,630,542
"dolnośląskie","górowski","Góra","020401"," gm.","miejsko-wiejska",15,16464,7343,7342,7282,3016,4266
"dolnośląskie","górowski","Jemielno","020402"," gm.","wiejska",3,2482,1062,1062,1050,536,514
"dolnośląskie","górowski","Niechlów","020403"," gm.","wiejska",4,3988,1691,1691,1675,880,795
"dolnośląskie","górowski","Wąsosz","020404"," gm.","miejsko-wiejska",5,5888,2393,2393,2360,1107,1253
"dolnośląskie","jaworski","Jawor","020501"," m.","miejska",14,19975,10225,10224,10125,4438,5687
"dolnośląskie","jaworski","Bolków","020502"," gm.","miejsko-wiejska",12,8977,4082,4082,4024,1575,2449
"dolnośląskie","jaworski","Męcinka","020503"," gm.","wiejska",4,3801,1659,1658,1649,938,711
"dolnośląskie","jaworski","Mściwojów","020504"," gm.","wiejska",3,3259,1579,1579,1564,752,812
"dolnośląskie","jaworski","Paszowice","020505"," gm.","wiejska",2,3111,1374,1374,1353,709,644
"dolnośląskie","jaworski","Wądroże Wielkie","020506"," gm.","wiejska",3,3213,1313,1313,1307,630,677
"dolnośląskie","jeleniogórski","Karpacz","020601"," m.","miejska",4,5543,3575,3571,3537,970,2567
"dolnośląskie","jeleniogórski","Kowary","020602"," m.","miejska",11,9684,4950,4948,4896,1475,3421
"dolnośląskie","jeleniogórski","Piechowice","020603"," m.","miejska",4,5417,2882,2881,2852,954,1898
"dolnośląskie","jeleniogórski","Szklarska Poręba","020604"," m.","miejska",6,6942,4056,4056,4019,1185,2834
"dolnośląskie","jeleniogórski","Janowice Wielkie","020605"," gm.","wiejska",6,3591,1741,1741,1725,534,1191
"dolnośląskie","jeleniogórski","Jeżów Sudecki","020606"," gm.","wiejska",4,5250,2596,2595,2571,829,1742
"dolnośląskie","jeleniogórski","Mysłakowice","020607"," gm.","wiejska",7,8119,4005,4003,3957,1369,2588
"dolnośląskie","jeleniogórski","Podgórzyn","020608"," gm.","wiejska",7,6739,3561,3561,3525,1085,2440
"dolnośląskie","jeleniogórski","Stara Kamienica","020609"," gm.","wiejska",4,4233,1952,1952,1928,659,1269
"dolnośląskie","kamiennogórski","Kamienna Góra","020701"," m.","miejska",14,17260,8757,8756,8655,3139,5516
"dolnośląskie","kamiennogórski","Kamienna Góra","020702"," gm.","wiejska",8,6893,3447,3447,3395,1347,2048
"dolnośląskie","kamiennogórski","Lubawka","020703"," gm.","miejsko-wiejska",7,9331,4634,4632,4537,1552,2985
"dolnośląskie","kamiennogórski","Marciszów","020704"," gm.","wiejska",7,3729,1701,1701,1681,664,1017
"dolnośląskie","kłodzki","Duszniki-Zdrój","020801"," m.","miejska",3,4671,2550,2550,2524,951,1573
"dolnośląskie","kłodzki","Kłodzko","020802"," m.","miejska",19,23749,12314,12313,12178,4380,7798
"dolnośląskie","kłodzki","Kudowa-Zdrój","020803"," m.","miejska",7,9483,5392,5389,5338,2175,3163
"dolnośląskie","kłodzki","Nowa Ruda","020804"," m.","miejska",14,19901,9448,9446,9369,3082,6287
