"Województwo","Powiat","Gmina","Teryt","Liczba.wyborców.uprawnionych.do.głosowania","Komisja.otrzymała.kart.do.głosowania","Nie.wykorzystano.kart.do.głosowania","Liczba.wyborców..którym.wydano.karty.do.głosowania","Liczba.wyborców.głosujących.przez.pełnomocnika","Liczba.wyborców.głosujących.na.podstawie.zaświadczenia","Liczba.wyborców..którym.wysłano.pakiety.wyborcze","Liczba.otrzymanych.kopert.zwrotnych","w.których.nie.było.oświadczenia","w.których.oświadczenie.nie.było.podpisane","w.których.nie.było.koperty.na.kartę.do.głosowania","w.których.znajdowała.się.niezaklejona.koperta","Liczba.kopert.na.kartę.do.głosowania.wrzuconych.do.urny","Liczba.kart.wyjętych.z.urny","w.tym.liczba.kart.wyjętych.z.kopert","Liczba.kart.nieważnych","Liczba.kart.ważnych","Liczba.głosów.nieważnych","Liczba.głosów.ważnych","Andrzej.Sebastian.DUDA","Bronisław.Maria.KOMOROWSKI"
"dolnośląskie","bolesławiecki","gm. Nowogrodziec","020104",11930,10270,5220,5050,1,30,1,0,0,0,0,0,0,5050,0,0,5050,75,4975,2775,2200
"dolnośląskie","bolesławiecki","m. Bolesławiec","020101",31458,27237,10700,16537,9,172,12,10,0,0,0,0,10,16544,10,0,16544,264,16280,6780,9500
"dolnośląskie","bolesławiecki","gm. Warta Bolesławiecka","020106",6691,5698,2760,2938,3,38,0,0,0,0,0,0,0,2938,0,0,2938,47,2891,1478,1413
"dolnośląskie","bolesławiecki","gm. Osiecznica","020105",5445,4700,2239,2461,1,28,0,0,0,0,0,0,0,2461,0,0,2461,35,2426,1063,1363
"dolnośląskie","bolesławiecki","gm. Bolesławiec","020102",10950,9399,3947,5452,0,65,1,1,0,0,0,0,1,5453,1,0,5453,67,5386,2669,2717
"dolnośląskie","bolesławiecki","gm. Gromadka","020103",4514,3900,1655,2245,2,18,1,1,0,0,0,0,1,2246,1,0,2246,25,2221,1285,936
"dolnośląskie","dzierżoniowski","m. Bielawa","020201",25081,21943,9745,12200,9,101,6,5,1,0,0,0,4,12204,4,1,12203,160,12043,5257,6786
"dolnośląskie","dzierżoniowski","gm. Dzierżoniów","020205",7687,6629,2880,3749,0,20,3,3,0,0,0,0,3,3752,3,0,3752,53,3699,1852,1847
"dolnośląskie","dzierżoniowski","gm. Niemcza","020207",4748,4100,1883,2217,5,58,0,0,0,0,0,0,0,2217,0,0,2217,20,2197,1016,1181
"dolnośląskie","dzierżoniowski","m. Piława Górna","020204",5255,4605,2167,2438,8,12,2,2,0,0,0,0,2,2440,2,0,2440,32,2408,1191,1217
"dolnośląskie","dzierżoniowski","gm. Łagiewniki","020206",6075,5204,2201,3003,0,39,0,0,0,0,0,0,0,3003,0,0,3003,32,2971,1659,1312
"dolnośląskie","dzierżoniowski","m. Pieszyce","020203",7706,6711,3147,3564,5,39,0,0,0,0,0,0,0,3563,0,0,3563,48,3515,1696,1819
"dolnośląskie","dzierżoniowski","m. Dzierżoniów","020202",27690,23866,9353,14513,9,86,1,1,0,0,0,0,1,14513,1,0,14513,178,14335,5952,8383
"dolnośląskie","głogowski","m. Głogów","020301",53947,46880,17101,29780,5,327,27,23,0,0,0,1,22,29797,22,1,29796,394,29402,15134,14268
"dolnośląskie","głogowski","gm. Głogów","020302",5152,4407,1529,2878,2,19,1,0,0,0,0,0,0,2878,0,0,2878,50,2828,1608,1220
"dolnośląskie","głogowski","gm. Pęcław","020305",1783,1500,652,848,0,7,0,0,0,0,0,0,0,848,0,0,848,12,836,545,291
"dolnośląskie","głogowski","gm. Jerzmanowa","020303",3521,3004,936,2068,1,15,2,2,0,0,0,0,2,2070,2,0,2070,25,2045,1150,895
"dolnośląskie","głogowski","gm. Kotla","020304",3375,3005,1423,1582,2,24,0,0,0,0,0,0,0,1582,0,0,1582,24,1558,900,658
"dolnośląskie","głogowski","gm. Żukowice","020306",2784,2403,1097,1306,1,7,2,2,0,0,0,0,2,1308,2,0,1308,17,1291,716,575
"dolnośląskie","górowski","gm. Jemielno","020402",2496,2198,1216,982,1,5,0,0,0,0,0,0,0,982,0,0,982,11,971,535,436
"dolnośląskie","górowski","gm. Niechlów","020403",3950,3502,1856,1646,0,15,0,0,0,0,0,0,0,1646,0,0,1646,26,1620,890,730
"dolnośląskie","górowski","gm. Góra","020401",16163,13998,6589,7409,2,64,0,0,0,0,0,0,0,7409,0,4,7405,106,7299,3494,3805
"dolnośląskie","górowski","gm. Wąsosz","020404",5890,5005,2521,2484,1,26,5,4,0,0,0,0,4,2488,4,0,2488,47,2441,1248,1193
"dolnośląskie","jaworski","gm. Paszowice","020505",3206,2805,1301,1504,0,4,0,0,0,0,0,0,0,1504,0,0,1504,25,1479,751,728
"dolnośląskie","jaworski","gm. Bolków","020502",8665,7630,3758,3872,6,31,3,3,0,0,0,0,3,3875,3,0,3875,55,3820,1705,2115
"dolnośląskie","jaworski","gm. Mściwojów","020504",3279,2800,1219,1581,0,10,0,0,0,0,0,0,0,1581,0,0,1581,31,1550,747,803
"dolnośląskie","jaworski","gm. Wądroże Wielkie","020506",3265,2862,1408,1454,0,15,0,0,0,0,0,0,0,1454,0,0,1454,16,1438,690,748
"dolnośląskie","jaworski","gm. Męcinka","020503",3950,3402,1505,1897,0,11,0,0,0,0,0,0,0,1897,0,0,1897,13,1884,1075,809
"dolnośląskie","jaworski","m. Jawor","020501",19405,17179,7510,9667,4,88,9,7,0,0,0,0,7,9674,7,1,9673,149,9524,4821,4703
"dolnośląskie","jeleniogórski","gm. Podgórzyn","020608",6646,5762,2475,3287,5,85,1,1,0,0,0,0,1,3288,1,0,3288,45,3243,1055,2188
"dolnośląskie","jeleniogórski","gm. Mysłakowice","020607",8171,6888,2967,3921,2,115,0,0,0,0,0,0,0,3921,0,0,3921,61,3860,1499,2361
